1,Tristram Shandy,886-71-24680-28-8,Alan Needham
2,The Divine Comedy,635-00-42605-54-1,Liam Niles
3,Don Quixote,724-60-78321-11-8,Mark Martin
4,Nineteen Eighty Four,520-38-34016-81-6,Carl Nobbs
5,Ulysses,350-16-55672-14-0,Dani Dunbar
6,Tess of the d'Urbervilles,276-68-70581-01-4,Barney Owen
7,The Canterbury Tales,862-08-63610-25-0,Jasmine Chapman
8,The Odyssey,724-03-60573-54-2,Rebecca Herbert
9,Gulliver's Travels,347-63-13077-68-7,Emerald Sanchez
10,David Copperfield,264-14-02402-71-7,Michaela Nicholls
11,Don Quixote,812-03-10858-26-8,Owen Truscott
12,Gone With the Wind,848-78-44227-58-8,Daniel Andersson
13,David Copperfield,627-57-44170-06-1,Owen Griffiths
14,Nineteen Eighty Four,862-30-67613-48-5,Tyler Warden
15,The Magic Mountain,774-80-84503-34-1,Alexia Stubbs
16,Paradise Lost,874-36-50760-82-1,Kieth Redfern
17,Tess of the d'Urbervilles,661-37-66682-31-8,Elijah Lloyd
18,The Grapes of Wrath,083-81-24038-43-7,Chelsea Ross
19,Emma,310-21-06563-65-7,Hayden Hogg
20,Moby Dick,833-85-46247-23-1,Rosa Kelly
21,The Lord of The Rings,736-68-75348-73-5,Moira Nurton
22,The Lord of The Rings,462-37-62862-41-5,Caleb Ebbs
23,The Old Man and the Sea,006-40-46515-88-7,Raquel Edler
24,One Thousand and One Nights,341-28-64715-11-8,Domenic Phillips
25,One Thousand and One Nights,881-14-24661-30-7,Vera Mullins
26,Alice Adventures in Wonderland,108-71-32677-53-1,Hank Mason
27,To the Lighthouse,622-28-15525-06-3,Penelope Exton
28,Gargantua and Pantagruel,122-67-58453-82-4,Eduardo Kidd
29,Vanity Fair,683-72-72177-18-4,Enoch Myatt
30,Tristram Shandy,822-68-62626-62-6,Owen Victor
31,The Brothers Karamazov ,301-88-48486-74-1,Martin Tobin
32,The Great Gatsby,841-57-20180-58-1,Ethan Jarrett
33,The Sun Also Rises,357-40-72288-41-1,Tony Stone 
34,The Lord of The Rings,661-24-70683-34-7,Maribel Thomson
35,The Handmaid's Tale,265-48-67372-58-7,Iris Walsh
36,One Thousand and One Nights,425-17-76703-86-1,Callie Sylvester
37,The Good Soldier,851-16-82864-46-1,Sadie Bloom
38,Great Expectations,052-33-88672-75-6,Carolyn Thomas
39,The Scarlet Letter,068-26-22212-20-8,Louise Carson
40,Gargantua and Pantagruel,200-14-52486-33-8,George Gosling
41,Tess of the d'Urbervilles,334-03-30126-66-7,Florence Benson
42,The Brothers Karamazov ,675-04-05775-77-1,Julian Irving
43,The Old Man and the Sea,448-68-60828-56-0,Johnny Kaur
44,Pride and Prejudice,773-78-27147-13-0,Ramon Michael
45,The Flowers of Evil,743-27-05111-00-6,Alan Villiger
46,Anna Karenina,774-25-10438-75-2,Noah Buckley
47,Les Misérables,477-60-67661-71-6,George Moore
48,The Sound and the Fury,121-32-32731-74-8,Monica Payne
49,Tristram Shandy,648-47-06570-22-5,Domenic Owen
50,To the Lighthouse,728-72-44865-81-7,Hayden Palmer
51,Les Misérables,726-32-24733-04-6,Boris Kidd
52,One Hundred Years of Solitude,420-54-03413-63-0,Sofie Parker
53,Nineteen Eighty Four,562-04-04070-44-8,Cedrick Butler
54,Emma,300-62-23717-63-2,Monica Leslie
55,Tristram Shandy,101-40-25458-78-2,Amelia Pearce
56,Ulysses,681-42-38121-65-5,Enoch Sinclair
57,One Thousand and One Nights,604-73-73262-47-8,Mark Ralph
58,One Hundred Years of Solitude,401-87-52260-87-0,Rebecca Holt
59,Gargantua and Pantagruel,741-83-16251-32-3,Celia Speed
60,Game of Thrones,240-47-32467-43-5,Robyn Little
61,The Canterbury Tales,465-41-83524-80-2,Margot Watt
62,The Brothers Karamazov ,876-18-08463-27-8,Tony Corbett
63,Moby Dick,373-51-46858-24-3,Danny Rogan
64,The Lord of The Rings,033-85-55035-07-3,Florence Yarwood
65,The Old Man and the Sea,644-37-28231-58-2,Martin Butler
66,Emma,066-27-26468-51-2,Benny Goodman
67,Emma,058-22-04524-80-1,Carolyn Mould
68, Oedipus at Colonus,211-77-17713-21-1,Logan Reynolds
69,Hamlet,543-87-52557-64-4,Chuck Riley
70,The Canterbury Tales,224-31-41305-14-0,Hannah Eddison
71,The Old Man and the Sea,230-04-47223-03-5,Luke Marshall
72,The Brothers Karamazov ,287-54-01468-01-4,Daniel Quinnell
73,Tristram Shandy,535-06-65170-10-4,Sebastian Wood
74,Don Quixote,467-47-27474-70-6,Jamie Noach
75,Don Quixote,617-75-12350-04-1,Boris Shields
76,Great Expectations,327-87-16582-70-0,Destiny Rainford
77,Wuthering Heights,441-28-45122-70-5,Enoch Evans
78,To the Lighthouse,166-28-00268-32-4,Alessia Grey
79,The Sound and the Fury,288-03-61757-84-2,Melinda Wood
80,The Lord of The Rings,336-14-40825-17-6,Erick Morris
81,The Sound and the Fury,440-36-84331-16-4,Alice Rodgers
82,The Sound and the Fury,043-66-48111-88-7,Tyler Beal
83,Vanity Fair,880-36-41602-71-7,Britney Nicholls
84,The Divine Comedy,746-16-01146-54-5,David Crawley
85, Oedipus at Colonus,401-42-81851-08-3,Gina Gallacher
86,Gulliver's Travels,247-21-88116-52-4,Barry Hancock
87,Oedipus,504-34-44118-12-1,Julius Moran
88,War and Peace,763-72-12301-56-1,Daniel Hogg
